Category,Product Name,Price,Company Name,Product URL,Description
Industrial Machinery,Industrial Automation High Speed Bar Feeder Machine,"₹ 9,99,999/Piece",Iyalia Engineering Solutions India Private Limited,https://www.indiamart.com/proddetail/industrial-automation-high-speed-bar-feeder-machine-18877080688.html,Pattern Dimensions Pattern Dimensions Feeding up to 20 feet Feeding up to 20 feet Power Source Power Source AC AC Warranty Warranty 1 Year 1 Year Required Air Pressure Required Air Pressure no required no required Brand Brand Iyalia Iyalia Capacity Capacity Up to 6 Tons Up to 6 Tons
Industrial Machinery,Oil Can Making Machine,,Sathiya Nathan Engineering,https://www.indiamart.com/proddetail/oil-can-making-machine-26335313712.html,
Industrial Machinery,Atlas machines Top & Bottom Can Seaming Machine,,Atlas Machines (india),https://www.indiamart.com/proddetail/top-bottom-can-seaming-machine-3574942133.html,Brand Brand Atlas machines Atlas machines Packaging Type Packaging Type As Per Requirement As Per Requirement Machine Type Machine Type Automatic Automatic I Deal Only I Deal Only New New customize customize Yes Yes Place of Origin Place of Origin Mumbai Mumbai
Industrial Machinery,Electrode stacking machine,"₹ 2,80,000/Piece",Aero Incorpration,https://www.indiamart.com/proddetail/electrode-stacking-machine-20541071991.html,Type Type Electrode stacking machine Electrode stacking machine Machine Material Machine Material Stainless Steel Stainless Steel
Industrial Machinery,"1/2, 3/4 Inch Dairy Pharma Semi-Automatic Mixing Batteries","₹ 30,000/Piece",DPL Valves & Systems Private Limited,https://www.indiamart.com/proddetail/mixing-batteries-2579690762.html,"Brand/make Brand/make Dairy Pharma Dairy Pharma Maximum Water Recovery Rate Maximum Water Recovery Rate 50 to 55 % 50 to 55 % Operation Mode Operation Mode Semi-Automatic Semi-Automatic Size Size 1/2, 3/4 Inch 1/2, 3/4 Inch"
Industrial Machinery,Polished Industrial Process Equipment,"₹ 1,00,000/Unit",Nimotherm Engineering Private Limited,https://www.indiamart.com/proddetail/industrial-process-equipment-1299330055.html,"Finish Finish Polished Polished Material Material Mild Steel, Stainless Steel Mild Steel, Stainless Steel Pressure Pressure Upto 50 barg Upto 50 barg Temperature Temperature 0 - 450 deg.C 0 - 450 deg.C Coil Pressure Coil Pressure 300 barg 300 barg Application Application Process Plant, Mechanical industries Process Plant, Mechanical industries"
Industrial Machinery,Blue-Tech 3 Lathe Machine Work Shop,"₹ 1,50,000/piece",Uma Enterprise,https://www.indiamart.com/proddetail/lathe-machine-work-shop-4597599933.html,Brand Brand Blue-Tech Blue-Tech Phase Phase 3 3 Type Of Press Type Of Press Workshop Workshop Material Material Cast Iron Cast Iron Voltage Voltage 380 V 380 V Color Color Green Green
Industrial Machinery,220V Carton Window Patching Machine,"₹ 6,00,000/piece",Tech Master Engineering,https://www.indiamart.com/proddetail/220v-carton-window-patching-machine-13250801630.html,Machine Material Machine Material Mild Steel Mild Steel Surface Finishing Surface Finishing Polished Polished Open Carton Size Open Carton Size 21 inch  x 24inch 21 inch  x 24inch Phase Phase Double Phase Double Phase Power Source Power Source Electric Electric Speed Speed 8000 Pieces/ Hour 8000 Pieces/ Hour
Industrial Machinery,Random Soft Package Winding Machine,"₹ 24,000/piece",Vijay Engineering Works,https://www.indiamart.com/proddetail/random-soft-package-winding-machine-21088084530.html,Machine Material Machine Material Mild Steel Mild Steel Frequency Frequency 50 Hz 50 Hz Number Of Spindle Number Of Spindle 8 - 200 Spindles 8 - 200 Spindles Power Source Power Source 3 Phase 3 Phase Voltage Voltage 440V 440V Color Color White & Blue White & Blue
Industrial Machinery,Automatic Pick & Place Systems,"₹ 1,50,000/piece",Drive Technologies,https://www.indiamart.com/proddetail/automatic-pick-place-systems-1217645597.html,"Machine Type Machine Type Automatic Automatic Dimension Dimension 750 x 1100 x 1300 mm 750 x 1100 x 1300 mm Weight Weight 150 Kg 150 Kg Frequency Frequency 50 Hz 50 Hz Air Supply Air Supply 0.6 Mpa, 20 Lpm 0.6 Mpa, 20 Lpm PCB Placement area PCB Placement area Max 300 X 500 mm Max 300 X 500 mm"
Industrial Machinery,DVS Plasma Sintering Machine,"₹ 1,20,00,000/Unit",Dyna Vac Systems,https://www.indiamart.com/proddetail/plasma-sintering-machine-19610564491.html,"Application Application Educational Institutes, Research Laboratories, Defense Establishments, Aerospace Industry Educational Institutes, Research Laboratories, Defense Establishments, Aerospace Industry Brand Brand DVS DVS Heating Ray Heating Ray 500 degree C per minute 500 degree C per minute Rate of Pulsing Rate of Pulsing less (-) than 100 millisecond less (-) than 100 millisecond Vacuum level Vacuum level less (-) than 5 x 10 millibar less (-) than 5 x 10 millibar Voltage Voltage 440 V 440 V"
Industrial Machinery,"Innovative Automatic Flexo Plate Making Machine, For Industrial","₹ 4,35,000/piece",Innovative Flexotech Private Limited,https://www.indiamart.com/proddetail/flexo-plate-making-machine-9919382748.html,Automation Grade Automation Grade Automatic Automatic Phase Phase Single Phase Single Phase Brand Brand Innovative Innovative Usage/Application Usage/Application Industrial Industrial Material Material Stainless Steel Stainless Steel Power Source Power Source Electric Electric
Industrial Machinery,Automatic Notebook Making Machine,"₹ 5,20,000/piece",ASV Engineering,https://www.indiamart.com/proddetail/automatic-notebook-making-machine-21198826991.html,Brand Brand ASV ASV Production Capacity Production Capacity 8000 Per Day 8000 Per Day Automation Grade Automation Grade Automatic Automatic Phase Phase 3 Phase 3 Phase Material Material Stainless Steel Stainless Steel Voltage Voltage 440V 440V
Industrial Machinery,Smt Pcb Conveyor,"₹ 25,000/Piece",JVA Smt Traders,https://www.indiamart.com/proddetail/smt-pcb-conveyor-2855350899497.html,Output Capacity Output Capacity 75000 CPH 75000 CPH Machine Material Machine Material Mild Steel Mild Steel Material Material Mild Steel Mild Steel Phase Phase Single Single Power Consumption Power Consumption 220 V 220 V Power Source Power Source Alternate Current Alternate Current
Industrial Machinery,Hdpe Can Making Machine,"₹ 6,49,999/Piece",Sumitek Natraj Machinery Private Limited,https://www.indiamart.com/proddetail/hdpe-can-making-machine-2851742659533.html,Power Consumption Power Consumption Three Phase Three Phase Automation Grade Automation Grade Automatic Automatic Machine Material Machine Material Mild Steel Mild Steel Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,SMT HW T8 68FX 80F 8 Head Pick And Place Machine,"₹ 16,00,000/Piece",Abtektron Private Limited,https://www.indiamart.com/proddetail/smt-hw-t8-68fx-80f-8-head-pick-and-place-machine-2856160415762.html,Output Capacity Output Capacity 10000 CPH 10000 CPH Material Material Stainless Steel Stainless Steel Production Capacity Production Capacity 13000Pcs/h 13000Pcs/h Power Consumption Power Consumption 150 W 150 W Brand Name Brand Name SMT SMT Model Name/Number Model Name/Number HW T8 68FX 80F HW T8 68FX 80F
Industrial Machinery,"90 A7 Sanitary Napkin Making Machine, 2 Khz, Machine Capacity: 50","₹ 3,00,000/Piece",Samson Engineering,https://www.indiamart.com/proddetail/sanitary-napkin-making-machine-23028171430.html,Automation Grade Automation Grade A7 A7 Phase Phase 3 PHASE 3 PHASE Brand Brand SOLO PILOT SOLO PILOT Machine Capacity Machine Capacity 50 50 Speed Speed 90 90 Power Power 2 KHZ 2 KHZ
Industrial Machinery,Special Purpose Machine,"₹ 50,000/Piece",Dat Cam Automation,https://www.indiamart.com/proddetail/special-purpose-machine-2853588221573.html,Production Capacity Production Capacity 1 Ton 1 Ton Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,HIPAT Three Phase Almirah Making Machine,"₹ 2,88,000/piece",Pathak Machines Industries,https://www.indiamart.com/proddetail/almirah-making-machine-21171009262.html,Brand Brand HIPAT HIPAT Phase Phase Three Phase Three Phase Power Power 3 HP 3 HP Power Source Power Source Electric Electric Voltage Voltage 220-440 V 220-440 V
Industrial Machinery,Bamboo Double Side Chain Splitter Machine,"₹ 1,25,000/Piece",Arihant Engineering,https://www.indiamart.com/proddetail/bamboo-double-side-chain-splitter-machine-26184795162.html,Machine Material Machine Material Mild Steel Mild Steel Brand Brand Arihant Engineering Arihant Engineering Machine Capacity Machine Capacity 100 bamboo per shift approx 100 bamboo per shift approx Automation Grade Automation Grade Semi Automatic Semi Automatic Phase Phase 3 3 Power Power 3 HP 3 HP
Industrial Machinery,"1800 Pph SANITARY NAPKIN PAD MAKING MACHINE, 2KW, Machine Capacity: 30 Ppm","₹ 8,50,000/piece",Mechanical Systems,https://www.indiamart.com/proddetail/sanitary-napkin-pad-making-machine-22671150333.html,Brand Brand MECHSYS MECHSYS Machine Capacity Machine Capacity 30 PPM 30 PPM Speed Speed 1800 PPH 1800 PPH Power Power 2KW 2KW Weight Weight 400 KG 400 KG Dimension Dimension 14X3X7 FEET 14X3X7 FEET
Industrial Machinery,N_A Bopp Self Adhesive Tape Machine,"₹ 26,00,000/Piece(s)",Moscow Machine Tools,https://www.indiamart.com/proddetail/bopp-self-adhesive-tape-machine-4473095273.html,Usage/Application Usage/Application Tape manufacturer Tape manufacturer Material Material N_A N_A Frequency Frequency 50 Hz 50 Hz Volume Volume N_A N_A Quality Quality Best Best Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,"Steam Iron Laundry, 1600 W","₹ 3,500/PIECE",Sewing Tech Enterprises,https://www.indiamart.com/proddetail/steam-iron-laundry-20611994862.html,Power Power 1600 W 1600 W Brand Brand Silti Silti Usage/Application Usage/Application Laundry or Industrial Steam Iron Laundry or Industrial Steam Iron Power Consumption Power Consumption 1600 Watts 1600 Watts Color Color Blue Blue Iron Type Iron Type Bottle Steam Iron press Bottle Steam Iron press
Industrial Machinery,Carton Feeding Machine,"₹ 1,50,000/Piece",Mahi Systems Private Limited,https://www.indiamart.com/proddetail/carton-feeding-machine-3425450730.html,Type of Machine Type of Machine Carton Box Making Machine Carton Box Making Machine Machine Material Machine Material Stainless Steel Stainless Steel Brand Brand Mahi Mahi Automation Grade Automation Grade Semi Automatic Semi Automatic Production Capacity Production Capacity 200 PPM 200 PPM Phase Phase Single Single
Industrial Machinery,"Fully Automatic Single Phase Agarbatti Dipping Machine, 5 Unit Per A Day Or As Usage, Production Capacity: 100 kg Per Hr","₹ 37,000/Piece",Shiva Agarabathi Works,https://www.indiamart.com/proddetail/agarbatti-dipping-machine-25433026833.html,"Automation Grade Automation Grade Fully Automatic Fully Automatic Phase Phase Single Phase Single Phase Production Capacity Production Capacity 100 kg per hr 100 kg per hr Power Consumption Power Consumption 5 unit per a day or as usage 5 unit per a day or as usage Brand Brand SSAW SSAW Speed Speed Dipping speed-0-3sec, Load per round-1kg Dipping speed-0-3sec, Load per round-1kg"
Industrial Machinery,"Stainless Steel Shoe Shine Machine, For Restaurant","₹ 5,950/Piece",Us Industrial Suppliers,https://www.indiamart.com/proddetail/shoe-shine-machine-13179915791.html,Automation Grade Automation Grade Automatic Automatic Sole Cleaner Sole Cleaner Yes Yes IR Sensor IR Sensor Yes Yes Type of Machine Type of Machine Sole Cutting Machine Sole Cutting Machine Usage/Application Usage/Application Restaurant Restaurant Material Material Stainless Steel Stainless Steel
Industrial Machinery,"Shisha Hookah Briquettes Machine, Capacity: 1000 kg/hr","₹ 4,50,000/Piece",Karunanand Hydropneumatic Controls (p) Ltd.,https://www.indiamart.com/proddetail/shisha-hookah-briquettes-machine-2852148109130.html,"Capacity Capacity 1000 kg/hr 1000 kg/hr Brand Brand Karunanand Karunanand Machine Material Machine Material Mild Steel Mild Steel Machine to make shisha hukka charcoal Briquette Machine Machine to make shisha hukka charcoal Briquette Machine Size square, Round, polo . Good potential for Exports of shisha hukka Size square, Round, polo . Good potential for Exports of shisha hukka Country of Origin Country of Origin Made in India Made in India"
Industrial Machinery,Automatic Window Patching Machine,"₹ 10,00,000/Piece",Natraj Corrugating Machinery Co.,https://www.indiamart.com/proddetail/automatic-window-patching-machine-22204066530.html,Automation Grade Automation Grade Automatic Automatic Film Thickness Film Thickness 0.03 to 0.30 mm 0.03 to 0.30 mm Frequency Frequency 50 Hz 50 Hz Machine Size Machine Size 4800x1405x1520mm 4800x1405x1520mm Phase Phase Three-Phase Three-Phase Speed Speed 15000 Sheets/hour 15000 Sheets/hour
Industrial Machinery,SHOE SHINE MACHINE,"₹ 3,500/Piece",Agromech Industries,https://www.indiamart.com/proddetail/shoe-shine-machine-11558333112.html,"Material Material Steel Steel Voltage Voltage 110-240 V 110-240 V Frequency Frequency 50 Hz 50 Hz Features Features Rotating automatically, Power saver Rotating automatically, Power saver Dimension Dimension 41*25*27 cm 41*25*27 cm Noise Level Db Noise Level Db 52 DB 52 DB"
Industrial Machinery,"Semi-Automatic MS Coir Sheet Opening Machine, Capacity: 70kgs/hr, 2 HP","₹ 50,000/Piece",Talwandi Technicals,https://www.indiamart.com/proddetail/coir-sheet-opening-machine-15284465633.html,Power Consumption Power Consumption 2 HP 2 HP Material Material MS MS Capacity Capacity 70kgs/hr 70kgs/hr Automatic Grade Automatic Grade Semi-Automatic Semi-Automatic Frequency Frequency 50 Hz 50 Hz Voltage Voltage 220 V 220 V
Industrial Machinery,Automatic Sanitary Napkin Making Machine (modal 3),"₹ 3,95,000/Piece",ASV Engineering,https://www.indiamart.com/proddetail/automatic-sanitary-napkin-making-machine-modal-3-2853277643973.html,Type of Machine Type of Machine Napkin Making Machine Napkin Making Machine Machine Material Machine Material Stainless Steel Stainless Steel Brand Brand ASV ENGINEERING ASV ENGINEERING Power Source Power Source ELECTRICITY ELECTRICITY Surface Finishing Surface Finishing GLOSSY GLOSSY Operation Mode Operation Mode AUTOMATIC AUTOMATIC
Industrial Machinery,CHMT510 LP4 SMT Machine,"₹ 4,60,000/Piece",JVA Smt Traders,https://www.indiamart.com/proddetail/chmt510-lp4-smt-machine-2852903846133.html,Output Capacity Output Capacity 10000 CPH 10000 CPH Machine Material Machine Material Stainless Steel Stainless Steel Power Consumption Power Consumption 1 Kw 1 Kw Power Source Power Source Electric Electric Surface Finishing Surface Finishing Plished Plished
Industrial Machinery,Food Container Making Machine,"₹ 19,00,000/Piece",Sumitek Natraj Machinery Private Limited,https://www.indiamart.com/proddetail/food-container-making-machine-2851319967230.html,
Industrial Machinery,SMT 8 Head Pick And Place Machine,"₹ 21,00,000/Piece",Abtektron Private Limited,https://www.indiamart.com/proddetail/smt-8-head-pick-and-place-machine-2856160674562.html,Output Capacity Output Capacity 50000 CPH 50000 CPH Material Material Stainless Steel Stainless Steel Automation Grade Automation Grade Automatic Automatic Frequency Frequency 50 Hz 50 Hz Phase Phase Single Phase Single Phase Voltage Voltage 220 V 220 V
Industrial Machinery,Automatic Production Machine,"₹ 1,00,000/Piece",House Of Grid,https://www.indiamart.com/proddetail/automatic-production-machine-2854367203862.html,Machine Material Machine Material Mild Steel Mild Steel Automation Grade Automation Grade Fully Automatic Fully Automatic Phase Phase 3 3 Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,"Shampoo Making Machine, Capacity: upto 100 Liters","₹ 80,000/Piece",Samson Engineering,https://www.indiamart.com/proddetail/shampoo-making-machine-2850584558597.html,Capacity Capacity upto 100 Liters upto 100 Liters Machine Material Machine Material Mild Steel Mild Steel Automation Grade Automation Grade Automatic Automatic Voltage Voltage 220 V 220 V Corrosion Resistance Corrosion Resistance Yes Yes Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,"1800 Pph AUTOMATIC SANITARY PAD MAKING MACHINE, 2KW, Machine Capacity: 30 Ppm","₹ 3,50,000/Piece",Mechanical Systems,https://www.indiamart.com/proddetail/automatic-sanitary-pad-making-machine-23166860673.html,Brand Brand MECHSYS MECHSYS Machine Capacity Machine Capacity 30 PPM 30 PPM Speed Speed 1800 PPH 1800 PPH Power Power 2KW 2KW Weight Weight 400 KG 400 KG Dimension Dimension 14X3X7 FEET 14X3X7 FEET
Industrial Machinery,Automatic Jem Clip Making Machine,,Atlas Machines (india),https://www.indiamart.com/proddetail/automatic-jem-clip-making-machine-3532984533.html,I Deal Only I Deal Only New New Made in Made in India India Place of Origin Place of Origin Mumbai Mumbai Usage Usage All All Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,Rotay Basket type Bin cleaning machine,"₹ 3,00,000/Piece",Real Technologies Machines Private Limited,https://www.indiamart.com/proddetail/rotay-basket-type-bin-cleaning-machine-1284477130.html,Drum Diameter Drum Diameter 200 mm 200 mm Drum Length Drum Length 130 mm 130 mm Type Of Magnet Used Type Of Magnet Used Neodymium Neodymium Cooling System Cooling System Oil-Cooled Oil-Cooled Gauss Value Gauss Value 1200 Gauss 1200 Gauss Drum R.P.M. Drum R.P.M. 4 4
Industrial Machinery,Automatic Sole Cutting Machine,"₹ 1,20,000/Unit",Kabir Foundry Works,https://www.indiamart.com/proddetail/automatic-sole-cutting-machine-20102837688.html,Type of Machine Type of Machine Chappal Making Machine Chappal Making Machine Brand Brand Kabir Foundry Works Kabir Foundry Works Power required Power required 1.5 kw 1.5 kw Pressure Pressure 15.0 mt 15.0 mt Phase Phase Single Phase Single Phase Bed area Bed area 600 x 650 mm 600 x 650 mm
Industrial Machinery,Im2 Underpinner Machine,"₹ 45,000/Piece",Multicom Exports,https://www.indiamart.com/proddetail/im2-underpinner-machine-5668105533.html,Automation Grade Automation Grade Automatic Automatic Power Consumption Power Consumption Electric Electric Phase Phase 3 phase 3 phase Material Material SS SS Power Source Power Source Electric Electric Height Height standard standard
Industrial Machinery,Bopp Tape Slitting Machine,"₹ 10,50,000/Piece",Trasy Enterprises,https://www.indiamart.com/proddetail/bopp-tape-slitting-machine-15535153662.html,Brand Brand Trasy Trasy Production Capacity Production Capacity 180 m/min 180 m/min Model Name/Number Model Name/Number TE 008 1.3 TE 008 1.3 Model Number/Name Model Number/Name TE 008 TE 008 Power Consumption Power Consumption 5.5 Kw 5.5 Kw Automation Grade Automation Grade Automatic Automatic
Industrial Machinery,Welding Electrode Making Machine,"₹ 12,00,000/Piece",Deccan Dynamics,https://www.indiamart.com/proddetail/welding-electrode-making-machine-2854141428997.html,Machine Material Machine Material Mild Steel Mild Steel Frequency Frequency 50 - 60 HZ 50 - 60 HZ Voltage Voltage 415 V 415 V Phase Phase 3 3 Power Source Power Source 7.5 HP 7.5 HP Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,Soft Winder - Soft Package Winder,"₹ 1,00,000/piece",Reshmi Industries India Private Limited,https://www.indiamart.com/proddetail/soft-winder-soft-package-winder-18745136591.html,Production Capacity Production Capacity Random Propeelor Random Propeelor Power Consumption Power Consumption 100 watts 100 watts
Industrial Machinery,Water Pipe Making Machine,"₹ 6,51,000/Piece",G G Industries India,https://www.indiamart.com/proddetail/water-pipe-making-machine-23441288488.html,Machine Material Machine Material Mild Steel Mild Steel Power Consumption Power Consumption 10 Kw 10 Kw Automation Grade Automation Grade Automatic Automatic Phase Phase 3 3 Power Source Power Source Electric Electric Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,"Mild Steel 14 Head Wire Mesh Welder, For Industrial, Automation Grade: Automatic","₹ 16,00,000/Piece",Electroweld Industries,https://www.indiamart.com/proddetail/14-head-wire-mesh-welder-23483017073.html,Material Material Mild Steel Mild Steel Usage/Application Usage/Application Industrial Industrial Automation Grade Automation Grade Automatic Automatic Welding Type Welding Type Wire Mesh Welder Wire Mesh Welder Capacity Capacity 100 kVA 100 kVA Brand Brand Electroweld Electroweld
Industrial Machinery,VES Pick and Place Systems,"₹ 1,00,000/piece",Vedant Engineering Services,https://www.indiamart.com/proddetail/pick-and-place-systems-19111265173.html,Brand Brand VES VES
Industrial Machinery,Slipper Making Machine,"₹ 82,000/Piece",ASV Engineering,https://www.indiamart.com/proddetail/slipper-making-machine-21132920455.html,Type of Machine Type of Machine Chappal Making Machine Chappal Making Machine Brand Brand ASV ASV Usage/Application Usage/Application Hawai Chappal Hawai Chappal Weight Weight 550 Kg 550 Kg Voltage Voltage 220V 220V Automation Grade Automation Grade Automatic Automatic
Industrial Machinery,Table Top SMT Machine CHMT36,"₹ 2,00,000/Piece",JVA Smt Traders,https://www.indiamart.com/proddetail/table-top-smt-machine-chmt36-2850634127691.html,Output Capacity Output Capacity 5000 CPH 5000 CPH Machine Material Machine Material Mild Steel Mild Steel Phase Phase 1 Phase 1 Phase Power Source Power Source Electric Electric Voltage Voltage 230 V 230 V Surface Finishing Surface Finishing Polished Polished
Industrial Machinery,"Single Phase Sanitary Napkin Making Machine, Machine Capacity(Piece/Hour): 1000","₹ 15,00,000/Piece",Samson Engineering,https://www.indiamart.com/proddetail/single-die-automatic-sanitary-napkin-making-machine-2854114786373.html,Type of Machine Type of Machine Napkin Making Machine Napkin Making Machine Machine Capacity(Piece/Hour) Machine Capacity(Piece/Hour) 1000 1000 Machine Material Machine Material Mild Steel Mild Steel Voltage Voltage 230 V 230 V Automation Grade Automation Grade Automatic Automatic Driven Type Driven Type Panel Panel
Industrial Machinery,Cylinder Reboring Machine,"₹ 95,000/piece",Pathak Machines Industries,https://www.indiamart.com/proddetail/cylinder-reboring-machine-21168920097.html,Model Name/Number Model Name/Number PCB 048 PCB 048 Automation Grade Automation Grade Semi-Automatic Semi-Automatic Voltage Voltage 220 Volt 220 Volt Brand Brand T.L. PATHAK GROUP T.L. PATHAK GROUP Body Material Body Material Mild Steel Mild Steel Max depth of cut mm (at Low Speed) Max depth of cut mm (at Low Speed) 1(0.040'')~ 1(0.040'')~
